Age,2,3,Education,5,Marital-Status,Occupation,8,Race,10,11,12,13,14,15
50-64, Local-gov,216851,University Education,13,Married, Tech-support, Husband,Major Races, Male,0,0,40, United-States, >50K
10-20, Private,168294,High School,9,Single, Craft-repair, Own-child,Major Races, Male,0,0,40, United-States, <=50K
50-64, ?,180211,University Education,10,Married, ?, Husband,Major Races, Male,0,0,60, South, >50K
30-40, Private,367260,High School,9,Unmarried, Exec-managerial, Not-in-family,Major Races, Male,0,0,80, United-States, <=50K
40=50, Private,193366,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Local-gov,190709,University Education,12,Single, Protective-serv, Not-in-family,Major Races, Male,0,0,52, United-States, <=50K
10-20, Private,266015,University Education,10,Single, Sales, Own-child,Major Races, Male,0,0,44, United-States, <=50K
40=50, Private,386940,University Education,13,Unmarried, Exec-managerial, Own-child,Major Races, Male,0,1408,40, United-States, <=50K
20-30, Federal-gov,59951,University Education,10,Married, Adm-clerical, Own-child,Major Races, Male,0,0,40, United-States, <=50K
20-30, State-gov,311512,University Education,10,Married, Other-service, Husband,Major Races, Male,0,0,15, United-States, <=50K
40=50, Private,242406,High School,7,Single, Machine-op-inspct, Unmarried,Major Races, Male,0,0,40, Puerto-Rico, <=50K
20-30, Private,197200,University Education,10,Single, Machine-op-inspct, Own-child,Major Races, Male,0,0,40, United-States, <=50K
10-20, Private,544091,High School,9,Married, Adm-clerical, Wife,Major Races, Female,0,0,25, United-States, <=50K
30-40, Private,84154,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,38, ?, >50K
40=50, Self-emp-not-inc,265477,University Education,12,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,507875,High School,5,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,43, United-States, <=50K
50-64, Self-emp-not-inc,88506,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,172987,University Education,13,Married, Tech-support, Husband,Major Races, Male,0,0,50, United-States, <=50K
40=50, Private,94638,High School,9,Unmarried, Adm-clerical, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,289980,High School,9,Single, Handlers-cleaners, Not-in-family,Major Races, Male,0,0,35, United-States, <=50K
50-64, Federal-gov,337895,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, >50K
50-64, Private,144361,High School,9,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,38, United-States, <=50K
40=50, Private,128354,University Education,14,Unmarried, Exec-managerial, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
40=50, State-gov,101603,Trade School,11,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,271466,Trade School,11,Single, Prof-specialty, Not-in-family,Major Races, Male,0,0,43, United-States, <=50K
10-20, Private,226956,High School,9,Single, Other-service, Own-child,Major Races, Female,0,0,30, ?, <=50K
40=50, Private,51835,Trade School,15,Married, Prof-specialty, Wife,Major Races, Female,0,1902,60, Honduras, >50K
40=50, Federal-gov,251585,University Education,13,Unmarried, Exec-managerial, Not-in-family,Major Races, Male,0,0,55, United-States, >50K
40=50, Self-emp-inc,109832,High School,9,Unmarried, Exec-managerial, Not-in-family,Major Races, Male,0,0,60, United-States, <=50K
40=50, Private,237993,University Education,10,Married, Tech-support, Husband,Major Races, Male,0,0,40, United-States, >50K
40=50, Private,216666,Elementary,3,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, Mexico, <=50K
30-40, Private,56352,Trade School,11,Married, Other-service, Husband,Major Races, Male,0,0,40, Puerto-Rico, <=50K
40=50, Private,147372,High School,9,Married, Adm-clerical, Husband,Major Races, Male,0,0,48, United-States, <=50K
20-30, Private,188146,High School,9,Married, Machine-op-inspct, Husband,Major Races, Male,5013,0,40, United-States, <=50K
20-30, Private,59496,University Education,13,Married, Sales, Husband,Major Races, Male,2407,0,40, United-States, <=50K
30-40, ?,293936,Elementary,4,Unmarried, ?, Not-in-family,Major Races, Male,0,0,40, ?, <=50K
40=50, Private,149640,High School,9,Married, Transport-moving, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,116632,University Education,16,Married, Prof-specialty, Husband,Major Races, Male,0,0,45, United-States, >50K
20-30, Private,105598,University Education,10,Unmarried, Tech-support, Not-in-family,Major Races, Male,0,0,58, United-States, <=50K
30-40, Private,155537,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,183175,University Education,10,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
50-64, Private,169846,High School,9,Married, Adm-clerical, Wife,Major Races, Female,0,0,40, United-States, >50K
40=50, Self-emp-inc,191681,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,50, United-States, >50K
20-30, ?,200681,University Education,10,Single, ?, Own-child,Major Races, Male,0,0,40, United-States, <=50K
10-20, Private,101509,University Education,10,Single, Prof-specialty, Own-child,Major Races, Male,0,0,32, United-States, <=50K
30-40, Private,309974,University Education,13,Unmarried, Sales, Own-child,Major Races, Female,0,0,40, United-States, <=50K
20-30, Self-emp-not-inc,162298,University Education,13,Married, Sales, Husband,Major Races, Male,0,0,70, United-States, >50K
20-30, Private,211678,University Education,10,Single, Machine-op-inspct, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
65-max, Private,124744,University Education,10,Married, Prof-specialty, Other-relative,Major Races, Male,0,0,20, United-States, <=50K
20-30, Private,213921,High School,9,Single, Other-service, Own-child,Major Races, Male,0,0,40, Mexico, <=50K
30-40, Private,32214,University Education,12,Married, Adm-clerical, Husband,Major Races, Male,0,0,40, United-States, <=50K
65-max, ?,212759,High School,6,Married, ?, Husband,Major Races, Male,0,0,2, United-States, <=50K
10-20, Private,309634,High School,7,Single, Other-service, Own-child,Major Races, Female,0,0,22, United-States, <=50K
30-40, Local-gov,125927,Elementary,4,Married, Farming-fishing, Husband,Major Races, Male,0,0,40, United-States, <=50K
10-20, Private,446839,High School,9,Single, Sales, Not-in-family,Major Races, Male,0,0,30, United-States, <=50K
50-64, Private,276515,University Education,13,Married, Other-service, Husband,Major Races, Male,0,0,40, Cuba, <=50K
40=50, Private,51618,High School,9,Married, Other-service, Wife,Major Races, Female,0,0,40, United-States, <=50K
50-64, Private,159937,High School,9,Married, Sales, Husband,Major Races, Male,0,0,48, United-States, <=50K
40=50, Private,343591,High School,9,Unmarried, Craft-repair, Not-in-family,Major Races, Female,14344,0,40, United-States, >50K
50-64, Private,346253,High School,9,Unmarried, Sales, Own-child,Major Races, Female,0,0,35, United-States, <=50K
40=50, Local-gov,268234,High School,9,Married, Protective-serv, Husband,Major Races, Male,0,0,40, United-States, >50K
30-40, Private,202051,University Education,14,Married, Prof-specialty, Husband,Major Races, Male,0,0,50, United-States, <=50K
20-30, Private,54334,High School,5,Single, Sales, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
40=50, Federal-gov,410867,University Education,16,Single, Prof-specialty, Not-in-family,Major Races, Female,0,0,50, United-States, >50K
50-64, Private,249977,Trade School,11,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,286730,University Education,10,Unmarried, Craft-repair, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,212563,University Education,10,Unmarried, Machine-op-inspct, Unmarried,Major Races, Female,0,0,25, United-States, <=50K
20-30, Private,117747,High School,9,Married, Sales, Wife,Major Races, Female,0,1573,35, ?, <=50K
30-40, Local-gov,226296,University Education,13,Married, Protective-serv, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Local-gov,115585,University Education,10,Single, Handlers-cleaners, Not-in-family,Major Races, Male,0,0,50, United-States, <=50K
40=50, Self-emp-not-inc,191277,University Education,16,Married, Prof-specialty, Husband,Major Races, Male,0,1902,60, United-States, >50K
30-40, Private,202683,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,48, United-States, >50K
40=50, Private,171095,University Education,12,Unmarried, Exec-managerial, Unmarried,Major Races, Female,0,0,40, England, <=50K
30-40, Federal-gov,249409,High School,9,Single, Other-service, Own-child,Major Races, Male,0,0,40, United-States, <=50K
65-max, Private,124191,University Education,14,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, >50K
40=50, Private,198282,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,15024,0,60, United-States, >50K
40=50, Self-emp-not-inc,149116,University Education,14,Single, Prof-specialty, Not-in-family,Major Races, Female,0,0,50, United-States, <=50K
10-20, Private,188300,University Education,10,Single, Tech-support, Own-child,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,103432,High School,9,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
30-40, Self-emp-inc,317660,High School,9,Married, Craft-repair, Husband,Major Races, Male,7688,0,40, United-States, >50K
10-20, ?,304873,High School,6,Single, ?, Own-child,Major Races, Female,34095,0,32, United-States, <=50K
20-30, Private,194901,High School,7,Single, Handlers-cleaners, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Local-gov,189265,High School,9,Single, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,124692,High School,9,Married, Handlers-cleaners, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,432376,University Education,13,Single, Sales, Other-relative,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,65324,Trade School,15,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, >50K
50-64, Self-emp-not-inc,335605,High School,9,Married, Other-service, Husband,Major Races, Male,0,1887,50, Canada, >50K
20-30, Private,377869,University Education,10,Married, Sales, Wife,Major Races, Female,4064,0,25, United-States, <=50K
30-40, Private,102864,High School,9,Single, Machine-op-inspct, Own-child,Major Races, Female,0,0,40, United-States, <=50K
50-64, Private,95647,High School,5,Married, Handlers-cleaners, Husband,Major Races, Male,0,0,50, United-States, <=50K
50-64, Self-emp-inc,303090,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,50, United-States, <=50K
40=50, Local-gov,197371,Trade School,11,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, >50K
50-64, Private,247552,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,56, United-States, <=50K
20-30, Private,102632,High School,9,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,41, United-States, <=50K
20-30, Private,199915,University Education,10,Single, Other-service, Own-child,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,118853,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,60, United-States, <=50K
20-30, Private,77143,University Education,13,Single, Exec-managerial, Own-child,Major Races, Male,0,0,40, Germany, <=50K
20-30, State-gov,267989,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,50, United-States, >50K
10-20, Private,301606,University Education,10,Single, Other-service, Own-child,Major Races, Male,0,0,35, United-States, <=50K
40=50, Private,287828,University Education,13,Married, Exec-managerial, Wife,Major Races, Female,0,0,40, United-States, >50K
10-20, Private,111697,University Education,10,Single, Adm-clerical, Own-child,Major Races, Female,0,1719,28, United-States, <=50K
30-40, Private,114937,University Education,12,Married, Adm-clerical, Husband,Major Races, Male,0,0,40, United-States, >50K
30-40, ?,129305,High School,9,Married, ?, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,365739,University Education,10,Unmarried, Craft-repair, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,69621,University Education,12,Single, Sales, Not-in-family,Major Races, Female,0,0,60, United-States, <=50K
20-30, Private,43323,High School,9,Single, Other-service, Not-in-family,Major Races, Female,0,1762,40, United-States, <=50K
30-40, Self-emp-not-inc,120985,High School,9,Married, Craft-repair, Husband,Major Races, Male,4386,0,35, United-States, <=50K
30-40, Private,254202,University Education,13,Married, Sales, Husband,Major Races, Male,0,0,50, United-States, <=50K
40=50, Private,146195,University Education,12,Unmarried, Tech-support, Not-in-family,Major Races, Female,0,0,36, United-States, <=50K
30-40, Federal-gov,125933,University Education,14,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, Iran, >50K
40=50, Self-emp-not-inc,56920,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,60, United-States, <=50K
20-30, Private,163127,Trade School,11,Married, Adm-clerical, Wife,Major Races, Female,0,0,35, United-States, <=50K
10-20, Private,34310,University Education,10,Single, Sales, Own-child,Major Races, Male,0,0,20, United-States, <=50K
40=50, Private,81973,University Education,10,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, >50K
50-64, Self-emp-inc,66614,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,232782,University Education,10,Single, Sales, Own-child,Major Races, Female,0,0,40, United-States, <=50K
10-20, Private,316868,University Education,10,Single, Other-service, Own-child,Major Races, Male,0,0,30, Mexico, <=50K
40=50, Private,196584,Trade School,11,Single, Prof-specialty, Not-in-family,Major Races, Female,0,1564,40, United-States, >50K
65-max, Private,105376,University Education,10,Single, Tech-support, Other-relative,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,185814,High School,9,Single, Transport-moving, Unmarried,Major Races, Female,0,0,30, United-States, <=50K
20-30, Private,175374,University Education,10,Married, Other-service, Husband,Major Races, Male,0,0,24, United-States, <=50K
30-40, Private,108293,High School,9,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,24, United-States, <=50K
50-64, Private,181232,High School,7,Married, Craft-repair, Husband,Major Races, Male,0,2179,40, United-States, <=50K
40=50, ?,174662,University Education,10,Unmarried, ?, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
40=50, Local-gov,186009,University Education,10,Unmarried, Adm-clerical, Unmarried,Major Races, Female,0,0,38, Mexico, <=50K
30-40, Private,198183,High School,9,Single, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,163003,University Education,13,Single, Exec-managerial, Other-relative,Major Races, Female,0,0,40, Philippines, <=50K
20-30, Private,296158,High School,9,Single, Craft-repair, Own-child,Major Races, Male,0,0,35, United-States, <=50K
50-64, ?,252903,High School,9,Unmarried, ?, Not-in-family,Major Races, Male,0,0,45, United-States, >50K
40=50, Private,187715,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,46, United-States, <=50K
20-30, Private,214542,University Education,13,Single, Handlers-cleaners, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
65-max, Self-emp-not-inc,494223,University Education,10,Unmarried, Sales, Unmarried,Major Races, Male,0,1816,2, United-States, <=50K
20-30, Private,191535,High School,9,Unmarried, Craft-repair, Not-in-family,Major Races, Male,0,0,60, United-States, <=50K
40=50, Private,228456,University Education,13,Unmarried, Other-service, Other-relative,Major Races, Male,0,0,50, United-States, <=50K
65-max, ?,38317,Elementary,2,Unmarried, ?, Not-in-family,Major Races, Female,0,0,20, United-States, <=50K
20-30, Private,252752,High School,9,Single, Other-service, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
40=50, Self-emp-inc,78374,University Education,14,Unmarried, Exec-managerial, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,88419,High School,9,Single, Exec-managerial, Not-in-family,Major Races, Female,0,0,40, England, <=50K
40=50, Self-emp-not-inc,201080,University Education,14,Married, Sales, Husband,Major Races, Male,0,0,40, United-States, >50K
30-40, Private,207157,University Education,10,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,40, Mexico, <=50K
30-40, Federal-gov,235485,University Education,12,Single, Exec-managerial, Not-in-family,Major Races, Male,0,0,42, United-States, <=50K
40=50, State-gov,102628,University Education,14,Unmarried, Protective-serv, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
10-20, Private,25828,High School,7,Single, Handlers-cleaners, Own-child,Major Races, Male,0,0,16, United-States, <=50K
65-max, Local-gov,54826,Trade School,11,Unmarried, Prof-specialty, Not-in-family,Major Races, Female,0,0,20, United-States, <=50K
20-30, Private,124953,High School,9,Single, Other-service, Not-in-family,Major Races, Male,0,1980,40, United-States, <=50K
20-30, State-gov,175325,High School,9,Married, Protective-serv, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,96062,University Education,10,Married, Sales, Husband,Major Races, Male,0,1977,40, United-States, >50K
20-30, Private,428030,University Education,13,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,50, United-States, <=50K
20-30, State-gov,149624,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Private,253814,High School,9,Unmarried, Sales, Unmarried,Major Races, Female,0,0,25, United-States, <=50K
20-30, Private,312956,High School,9,Single, Craft-repair, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,483777,High School,9,Single, Handlers-cleaners, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
10-20, Private,183930,High School,9,Single, Other-service, Own-child,Major Races, Male,0,0,12, United-States, <=50K
30-40, Private,37274,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,65, United-States, <=50K
40=50, Local-gov,181344,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,38, United-States, >50K
40=50, Private,114580,University Education,10,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,633742,University Education,10,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,45, United-States, <=50K
30-40, Private,286370,Elementary,4,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, Mexico, >50K
30-40, Federal-gov,29054,University Education,10,Married, Adm-clerical, Husband,Major Races, Male,0,0,42, United-States, >50K
30-40, Private,304030,High School,9,Married, Adm-clerical, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Self-emp-not-inc,143129,University Education,13,Unmarried, Exec-managerial, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
50-64, ?,135105,University Education,13,Unmarried, ?, Not-in-family,Major Races, Female,0,0,50, United-States, <=50K
30-40, Private,99928,University Education,14,Married, Prof-specialty, Wife,Major Races, Female,0,0,50, United-States, <=50K
50-64, State-gov,109567,University Education,16,Married, Prof-specialty, Husband,Major Races, Male,0,0,1, United-States, >50K
30-40, Private,155222,University Education,10,Unmarried, Machine-op-inspct, Not-in-family,Major Races, Female,0,0,28, United-States, <=50K
20-30, Private,159567,University Education,10,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Local-gov,523910,University Education,13,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,120939,University Education,10,Married, Tech-support, Husband,Major Races, Male,0,0,45, United-States, <=50K
40=50, Federal-gov,130760,University Education,13,Married, Tech-support, Husband,Major Races, Male,0,0,24, United-States, <=50K
20-30, Private,197387,Elementary,3,Married, Transport-moving, Other-relative,Major Races, Male,0,0,40, Mexico, <=50K
30-40, Private,99374,University Education,10,Unmarried, Craft-repair, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
30-40, Federal-gov,56795,University Education,14,Single, Exec-managerial, Not-in-family,Major Races, Female,14084,0,55, United-States, >50K
30-40, Private,138992,University Education,14,Married, Prof-specialty, Other-relative,Major Races, Male,7298,0,40, United-States, >50K
20-30, Self-emp-not-inc,32921,High School,9,Single, Sales, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,397317,University Education,14,Single, Prof-specialty, Not-in-family,Major Races, Female,0,1876,40, United-States, <=50K
10-20, ?,170653,High School,9,Single, ?, Own-child,Major Races, Male,0,0,40, Italy, <=50K
50-64, Private,259323,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,50, United-States, >50K
40=50, Local-gov,254817,University Education,10,Single, Prof-specialty, Not-in-family,Major Races, Female,0,1340,40, United-States, <=50K
30-40, State-gov,48211,High School,9,Unmarried, Adm-clerical, Unmarried,Major Races, Female,0,0,35, United-States, <=50K
10-20, Private,140164,High School,7,Single, Sales, Own-child,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,128757,University Education,13,Married, Other-service, Husband,Major Races, Male,7298,0,36, United-States, >50K
30-40, Private,36270,High School,9,Unmarried, Craft-repair, Not-in-family,Major Races, Male,0,0,60, United-States, <=50K
50-64, Self-emp-inc,210563,High School,9,Married, Sales, Wife,Major Races, Female,15024,0,35, United-States, >50K
10-20, Private,65368,High School,7,Single, Sales, Own-child,Major Races, Female,0,0,12, United-States, <=50K
40=50, Local-gov,160943,High School,9,Married, Transport-moving, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,208358,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, >50K
30-40, Private,153790,University Education,10,Single, Sales, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
50-64, Private,85815,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Self-emp-inc,125417,Elementary,4,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, United-States, >50K
30-40, Private,635913,University Education,13,Single, Exec-managerial, Not-in-family,Major Races, Male,0,0,60, United-States, >50K
40=50, Private,313321,University Education,12,Unmarried, Sales, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,182609,University Education,13,Married, Sales, Husband,Major Races, Male,0,0,50, Poland, <=50K
40=50, Private,109434,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,55, United-States, <=50K
20-30, Private,255004,High School,6,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,197860,University Education,10,Married, Handlers-cleaners, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, ?,187656,Elementary,2,Unmarried, ?, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
65-max, Private,51744,High School,9,Single, Other-service, Not-in-family,Major Races, Male,0,2206,40, United-States, <=50K
50-64, Private,176681,High School,9,Married, Adm-clerical, Husband,Major Races, Male,0,0,20, United-States, <=50K
50-64, Local-gov,140359,Elementary,1,Single, Machine-op-inspct, Not-in-family,Major Races, Female,0,0,35, United-States, <=50K
10-20, Private,243313,High School,9,Single, Sales, Own-child,Major Races, Female,0,0,40, United-States, <=50K
50-64, ?,24215,High School,6,Unmarried, ?, Not-in-family,Major Races, Female,0,0,10, United-States, <=50K
65-max, Self-emp-not-inc,167687,High School,9,Married, Farming-fishing, Husband,Major Races, Male,1409,0,50, United-States, <=50K
65-max, Private,314209,Trade School,11,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,20, Columbia, <=50K
65-max, Private,176796,High School,9,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,538583,High School,7,Unmarried, Transport-moving, Not-in-family,Major Races, Male,3674,0,40, United-States, <=50K
40=50, Private,130408,High School,9,Unmarried, Sales, Unmarried,Major Races, Female,0,0,38, United-States, <=50K
20-30, Private,159732,University Education,10,Single, Adm-clerical, Not-in-family,Major Races, Male,0,0,42, United-States, <=50K
20-30, Private,76714,Trade School,15,Single, Prof-specialty, Not-in-family,Major Races, Male,0,0,55, United-States, >50K
50-64, State-gov,268700,High School,9,Married, Other-service, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, State-gov,170525,University Education,10,Single, Adm-clerical, Not-in-family,Major Races, Female,0,0,38, United-States, <=50K
40=50, Private,180138,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,50, Iran, >50K
30-40, Local-gov,115076,University Education,14,Married, Exec-managerial, Husband,Major Races, Male,0,0,70, United-States, >50K
20-30, Private,115458,High School,9,Single, Transport-moving, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,347890,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, >50K
40=50, Self-emp-not-inc,196001,High School,9,Married, Other-service, Wife,Major Races, Female,0,0,20, United-States, <=50K
20-30, State-gov,273905,University Education,12,Married, Protective-serv, Husband,Major Races, Male,0,0,50, United-States, <=50K
10-20, ?,119156,University Education,10,Single, ?, Own-child,Major Races, Male,0,0,20, United-States, <=50K
30-40, Private,179488,University Education,10,Unmarried, Craft-repair, Not-in-family,Major Races, Male,0,1741,40, United-States, <=50K
50-64, Private,203580,High School,9,Married, Adm-clerical, Husband,Major Races, Male,0,0,35, ?, <=50K
50-64, Private,236596,High School,9,Married, Adm-clerical, Husband,Major Races, Male,0,0,45, United-States, >50K
30-40, Private,183916,High School,9,Single, Other-service, Not-in-family,Major Races, Female,0,0,34, United-States, <=50K
30-40, Private,207578,University Education,12,Married, Tech-support, Husband,Major Races, Male,0,1977,60, United-States, >50K
40=50, Private,153141,High School,9,Married, Adm-clerical, Husband,Major Races, Male,0,0,40, ?, <=50K
40=50, Private,112763,Trade School,15,Married, Prof-specialty, Wife,Major Races, Female,0,0,40, United-States, >50K
40=50, Private,390781,University Education,13,Married, Adm-clerical, Wife,Major Races, Female,0,0,40, United-States, <=50K
50-64, Local-gov,171328,High School,6,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,30, United-States, <=50K
